"","Practice.Code","Volume","Cost","ID","Cluster"
"321","A83005",1755057,166705.7043,321,1
"322","A83006",848711,91861.12661,322,1
"323","A83007",2089043,190185.2492,323,1
"324","A83008",1018520,112318.529,324,1
"325","A83009",1242558,125712.69992,325,1
"326","A83010",1994628,223759.44432,326,1
"327","A83011",1528885,173710.43109,327,1
"328","A83012",2748508,269974.77101,328,1
"329","A83013",1475745,147101.58536,329,1
"330","A83014",1188600,140959.69613,330,1
"331","A83015",1521642,167323.21146,331,1
"332","A83016",2148467,218722.03689,332,1
"333","A83017",1388655,151575.1342,333,1
"334","A83018",3433643,354148.3212,334,1
"335","A83019",843516,90894.17539,335,1
"336","A83020",2201387,232614.14596,336,1
"337","A83021",1981879,233047.20237,337,1
"338","A83022",3394071,361799.57331,338,1
"339","A83023",1846744,193636.72433,339,1
"340","A83024",962031,115109.98264,340,1
"341","A83025",1974722,225850.29234,341,1
"342","A83026",1483963,154926.54975,342,1
"343","A83027",933115,100018.16969,343,1
"344","A83028",1232980,122101.38097,344,1
"345","A83029",724499,74547.69614,345,1
"346","A83030",1837935,169160.8548,346,1
"347","A83031",1332781,145127.70337,347,1
"348","A83032",351325,39248.42892,348,1
"349","A83033",880622,98477.0452,349,1
"350","A83034",1305653,126737.5045,350,1
"351","A83035",991629,111391.89907,351,1
"352","A83036",1676789,168261.95939,352,1
"353","A83037",2357271,238439.8801,353,1
"354","A83038",738186,71127.1909,354,1
"355","A83040",1622923,171221.99221,355,1
"356","A83041",1810864,182861.18982,356,1
"357","A83042",703096,70763.78744,357,1
"358","A83043",424956,48332.4157,358,1
"359","A83044",1121340,113440.13339,359,1
"360","A83045",2567768,257848.19359,360,1
"361","A83046",1348760,162122.11195,361,1
"362","A83047",1885127,197390.98755,362,1
"363","A83048",607941,67264.72724,363,1
"364","A83049",1666718,194035.22024,364,1
"365","A83050",1887353,192675.66673,365,1
"366","A83051",2333495,202232.09297,366,1
"367","A83052",1292531,150631.4003,367,1
